keypoint_index,keypoint_name,uuid,color
195,midpoint-1-of-lower-outer-lip,4077c276-fee5-4244-bee9-ae7093793237,"(192, 0, 0)"
196,midpoint-2-of-lower-outer-lip,f7d83069-68d9-4c25-9989-d881946af4b0,"(192, 0, 0)"
197,midpoint-3-of-upper-outer-lip,15da5e3e-5dc2-4f8b-8a50-f15443e19208,"(192, 0, 0)"
198,midpoint-4-of-upper-outer-lip,1dacd376-d2bd-4d1f-94a2-ccce3a1bee84,"(192, 0, 0)"
199,midpoint-5-of-upper-outer-lip,7cd5bd6f-925a-4739-950b-19350c90d397,"(192, 0, 0)"
200,midpoint-6-of-upper-outer-lip,7d949365-2fb2-4849-b98e-2f5566be127a,"(192, 0, 0)"
201,midpoint-3-of-lower-outer-lip,c7f498d8-a3c6-40bd-a961-fd6f1072a727,"(192, 0, 0)"
202,midpoint-4-of-lower-outer-lip,ba64e6b1-d40e-4ac0-8cc8-f979ba1e1168,"(192, 0, 0)"
203,midpoint-5-of-lower-outer-lip,8b609547-9b67-4eeb-8931-c874d0d7dcb2,"(192, 0, 0)"
204,midpoint-6-of-lower-outer-lip,2e518038-d276-4874-b477-db56b49e3967,"(192, 0, 0)"
205,r-inner-corner-of-mouth,53e901e0-2761-436e-a145-8d10150e4e54,"(0, 192, 192)"
206,l-inner-corner-of-mouth,08f5444d-8ffb-4752-9adc-5f76e4ad8070,"(0, 192, 192)"
207,center-of-upper-inner-lip,cbe69415-c46f-49ef-8969-c844287a6b8b,"(0, 192, 192)"
208,center-of-lower-inner-lip,3910f177-10d2-4051-af2b-7d250dcc6d62,"(0, 192, 192)"
209,midpoint-1-of-upper-inner-lip,b9054ca7-9ace-4161-a850-1e92918c6139,"(0, 192, 192)"
210,midpoint-2-of-upper-inner-lip,45846196-9583-477f-a23b-c44b55a25ac0,"(0, 192, 192)"
211,midpoint-1-of-lower-inner-lip,454e1533-8698-45ba-bbfd-14302311c9c3,"(0, 192, 192)"
212,midpoint-2-of-lower-inner-lip,3c6a2a3d-543f-4731-87a8-ea9615f7d77e,"(0, 192, 192)"
